caseID	fileName	barcodeID
f1e6ce83-b4a0-4643-8e8e-a1ef8a158a27	a8d7571b-7539-40ac-8be9-209aa54769d2.FPKM-UQ.txt.gz	TCGA-AZ-6608
01ad5016-f691-4bca-82a0-910429d8d25b	8989435b-4c14-4d4b-8cec-c9db8511b4d0.FPKM-UQ.txt.gz	TCGA-AA-3561
5da56982-6de7-4994-aa9e-3b01200b2959	0134d0cc-e66b-4fda-804b-c4434ec00bd2.FPKM-UQ.txt.gz	TCGA-AA-3861
4be66108-e72a-406b-bb4b-f58ff2877336	082a0dad-65e5-49f2-955b-ca23831b2733.FPKM-UQ.txt.gz	TCGA-AA-A01Q
bf69a4ce-ec7e-4752-a86d-dcc80e3c9a57	0c3d283b-1ef5-459e-b312-c97ea0b6d793.FPKM-UQ.txt.gz	TCGA-AZ-4615
cbe23011-93b7-4e9f-b934-bd0122f91f54	7e5759aa-8b94-4c50-8d62-779c69e29b79.FPKM-UQ.txt.gz	TCGA-F4-6463
3d8fd9b2-9aa2-4c81-8843-535ae66d6140	d49b2de9-e099-421f-b94c-e6dd2181bb16.FPKM-UQ.txt.gz	TCGA-AZ-4308
19d1a5fc-3ce9-4e43-a364-a4150bcf911b	f6d0eda9-920f-4986-82fe-1a327e3bd209.FPKM-UQ.txt.gz	TCGA-A6-2686
74a0264d-1d31-430d-9a88-e7334c8aa96c	f4b179c1-9d27-439b-a1ef-3dfbbd684c15.FPKM-UQ.txt.gz	TCGA-A6-A56B
565e2726-4942-4726-89d3-c5e3797f7204	21981535-9a4b-44ca-a3c0-3f52f4c0d29b.FPKM-UQ.txt.gz	TCGA-A6-2671
57b0f89f-1b75-453e-922c-01cd4d44ca49	eda58f69-4a60-4072-aa1c-541a90d2d80b.FPKM-UQ.txt.gz	TCGA-CK-5914
3a8ca50f-bc9f-4250-8c8d-22893763ea46	a58a7a42-4dda-46cc-a9ec-4a3ca597d972.FPKM-UQ.txt.gz	TCGA-D5-6926
4f601d7b-8db1-4c6d-9374-21dcd804980d	c4386236-99df-44f4-b0a7-822e32e050f0.FPKM-UQ.txt.gz	TCGA-AD-6895
68801d41-535f-4b38-989b-ef4fe5f00039	b520edf2-42ce-4b64-8575-19e34b30f042.FPKM-UQ.txt.gz	TCGA-A6-6653
bce5579c-08c6-48e9-853e-fac85ba8cbea	44e21ed0-bcc8-4978-ad68-81c35852b12b.FPKM-UQ.txt.gz	TCGA-AA-3831
31d960d7-8f5b-4d22-bf5e-fae0849c4efd	02ddfa3d-13b3-4624-994d-62e740fa4a3d.FPKM-UQ.txt.gz	TCGA-D5-5540
5498d5ef-ad24-4034-9750-7c996c5355e1	e39de159-abd7-4185-8c20-ca6f27827f31.FPKM-UQ.txt.gz	TCGA-AA-3875
3eb37b12-b8b4-40a3-bd8b-f89fc39c05fa	d1878265-460d-4768-a67d-73d8d5a315b7.FPKM-UQ.txt.gz	TCGA-A6-6782
e394e9ec-7288-4ede-9ef8-41b631d100dd	d2ef2751-f956-4490-88b0-6f619774ef5e.FPKM-UQ.txt.gz	TCGA-AA-3715
67ba29e7-f294-4dcd-9630-ad768c22c588	09977485-e1d1-41b1-b2b8-7ab0ad6df0a0.FPKM-UQ.txt.gz	TCGA-AA-3494
c8de215d-53a4-4e6c-be58-5887a8094815	ed228bb8-2573-4860-94db-7fea3cb44438.FPKM-UQ.txt.gz	TCGA-AD-6965
73f9681a-f9ef-4880-bd16-93624fd117c6	2f220acd-b59a-4b9a-8a03-6bb8444ef025.FPKM-UQ.txt.gz	TCGA-CK-4947
fa96d094-0165-401c-8fd5-6d1ee4ef3994	c6e85461-d986-46c3-b6b8-ab56d97320a3.FPKM-UQ.txt.gz	TCGA-AA-A00W
93690a96-421c-4c59-85ba-fa6dd538c721	79f11db1-6893-410f-8fbb-8da2a54d0957.FPKM-UQ.txt.gz	TCGA-G4-6588
aa85d9e8-caa6-422c-95ce-780e4ac2a5e4	5ada9c2e-2b69-441d-94e0-71ef126a886f.FPKM-UQ.txt.gz	TCGA-AA-3532
abb0d53f-f74e-45dc-8fbb-40863016f3c6	6dcbab48-76ea-485d-a2f4-764c61f3b503.FPKM-UQ.txt.gz	TCGA-AA-3681
bc02f801-081b-489b-87cb-d275c70299d5	73ce143e-44f1-49c6-963f-45246d8551de.FPKM-UQ.txt.gz	TCGA-AA-3845
d7048098-09b3-4763-ad54-9c5c6fe14bc0	6947d9d0-2d4f-444e-889f-7dafccb67251.FPKM-UQ.txt.gz	TCGA-CM-6678
88e64f45-adc4-4223-9838-4d7d45b8f0c0	d3085a8c-2850-4e9a-a0d0-7443b14d207b.FPKM-UQ.txt.gz	TCGA-AA-3526
ddf69ed9-4c53-48b8-9f01-495bd60c3425	0c788954-4a2f-405a-b0b1-8d8ec4e701fb.FPKM-UQ.txt.gz	TCGA-AA-3514
e17959bd-045d-4540-b43a-c3863e8ff3c0	1d975006-4e14-4f2c-be5f-e09f58790d62.FPKM-UQ.txt.gz	TCGA-G4-6295
794131b8-f4be-4f15-b3b9-6f0b10a5a38b	2f906887-7836-4f24-8f97-91b10811a7c3.FPKM-UQ.txt.gz	TCGA-CA-6715
8a84b03a-e37e-4827-98f0-4d480ec31037	d47d93d3-64e9-40a3-a941-33432fb31a1a.FPKM-UQ.txt.gz	TCGA-CK-6748
1fd75c4d-e74c-410c-a150-814722c6c1cc	6b047efa-258a-430a-909b-356c7c928864.FPKM-UQ.txt.gz	TCGA-AZ-4313
127f738d-afa1-42f6-a9a0-f33806667b84	61d0e01a-3e40-4929-80c8-36f797c6771f.FPKM-UQ.txt.gz	TCGA-AA-3562
acd51808-870c-4684-a2de-aa0b058729e1	678d7cdd-0a63-41b2-9203-fa1385494399.FPKM-UQ.txt.gz	TCGA-AY-A69D
4beee9d4-ee52-4fed-bcc4-d300f5ddd4d0	37d2cb9b-0286-43a5-9538-26a8f0818ee7.FPKM-UQ.txt.gz	TCGA-A6-5661
de287a25-981d-49f8-81af-fe0300e4cd31	bd2dfab3-88a8-4673-ba36-3daf252d0b4d.FPKM-UQ.txt.gz	TCGA-AZ-4315
0c53b010-4243-4da3-a059-7f54c9a850ec	c2357737-ad60-4603-9ce3-4b30cc45d30b.FPKM-UQ.txt.gz	TCGA-F4-6703
64bd568d-0509-48fe-8d0a-aef2a85d5c57	7da3a50b-ee97-472f-8a13-523e80202c11.FPKM-UQ.txt.gz	TCGA-F4-6856
cbdabbcd-d8f1-4d7c-9e18-ebd83d888c51	fc5dea3c-dfa2-4d52-ac5a-49335d6d5eaf.FPKM-UQ.txt.gz	TCGA-AA-3949
6cd8d2dd-5545-43b0-b796-ae0506d62eb8	bdc7d801-b93b-4464-89b6-0148d066c947.FPKM-UQ.txt.gz	TCGA-A6-6650
b76d1de7-6447-474d-bf67-77e0bb2da73a	3a210a05-77e2-461f-ae98-f53df573d8ce.FPKM-UQ.txt.gz	TCGA-AD-6901
c8d6fe73-3504-42a5-9723-e1916fba8208	4cf333ec-bd88-4349-9c72-ee06d32e8cd2.FPKM-UQ.txt.gz	TCGA-AZ-6606
d7ebd11a-1339-4b28-be90-a788d2cfa706	740870ab-fb90-43be-b226-7cf1efcf547c.FPKM-UQ.txt.gz	TCGA-AA-3811
654c6f5c-3e5c-49f0-b53f-87cd9797d7c9	d5dca54e-d7e9-4328-b2ca-1d191a2b8b4c.FPKM-UQ.txt.gz	TCGA-AA-3947
26a12266-c6d8-42f9-bd4e-5093d827ac9a	751f84dc-7c2d-417a-bc1f-6d5771f6f09f.FPKM-UQ.txt.gz	TCGA-AM-5820
3a785e32-7960-4c72-84c4-fb42c4dd86f1	92bd3edc-d6f3-4cfc-be03-4662199a06c2.FPKM-UQ.txt.gz	TCGA-A6-2678
0c463362-7925-4d9a-9d63-098b50af2fb9	49db2bf9-49aa-41d3-ae5d-3aaa26ff40fb.FPKM-UQ.txt.gz	TCGA-G4-6323
6fa41234-9077-4d05-a295-6820f3bedf5b	d547863f-18eb-4c29-8265-953055c129d3.FPKM-UQ.txt.gz	TCGA-AA-A02O
a94e1279-a975-480a-93e9-7b1ff05cbcbf	63691c59-d630-4b06-82bb-3d0587638a33.FPKM-UQ.txt.gz	TCGA-3L-AA1B
39d3b5b3-d51e-4d77-a8aa-2977fa734fab	27cc2167-5838-41d3-9d57-4c6a13f7ebf7.FPKM-UQ.txt.gz	TCGA-AA-3869
326c1637-ea91-4006-b440-d38420af1ae5	0cb305a5-d4a7-4eb8-8e8e-d11a5ebc3e0f.FPKM-UQ.txt.gz	TCGA-A6-6137
d2c99bed-3446-4d12-99e0-00611faa37dc	59608767-595f-402a-9f7f-356dd6e99a51.FPKM-UQ.txt.gz	TCGA-AA-A004
d9fb85c3-ade1-47bf-8159-170f81eb130f	d314696b-bbb9-425a-8a3a-5d32ec57af17.FPKM-UQ.txt.gz	TCGA-AA-3662
56eb96a4-d2c2-42fb-b26c-1a80012bcb8e	f0b34dc3-72b8-48d0-a755-354c74405264.FPKM-UQ.txt.gz	TCGA-CM-4747
f2ef5afa-6191-43a1-a023-d53c0d985139	f346f2d2-285c-455c-ba34-ea8eec3fa881.FPKM-UQ.txt.gz	TCGA-AA-3846
143f2dd6-a280-41c5-9242-442ef91b73ec	dac5d05e-c693-4dd3-b06f-faba625b5f18.FPKM-UQ.txt.gz	TCGA-DM-A288
ac13d568-f79e-4ba7-b7bf-18e4354e0920	67d1e5e4-91de-43df-b127-ffeef6070603.FPKM-UQ.txt.gz	TCGA-D5-6532
9f45a227-1fd5-478c-a194-4a5c61b68cc3	9ab691dc-cbc9-4bc5-8bd9-865783762473.FPKM-UQ.txt.gz	TCGA-QG-A5YW
b4c3cf95-a27c-4bcf-9321-38723473e83b	5c18c6a8-9ad2-43a8-a3a0-83d8fc0cc257.FPKM-UQ.txt.gz	TCGA-AA-3855
a8b4284d-cbbb-43e3-897b-d04af4bfba74	e82223ad-33c0-47fd-b0f2-982da64d0cb2.FPKM-UQ.txt.gz	TCGA-AZ-6598
36eaf209-c332-4321-b6aa-51a3368ecd79	d51754a9-71d1-4cc4-868e-fe8d29efa4d9.FPKM-UQ.txt.gz	TCGA-AA-3555
25c3201a-3dd5-4edf-ad09-104e5c10663e	773c7ef0-9536-455e-a3bb-3bc8d835af01.FPKM-UQ.txt.gz	TCGA-A6-5666
58facedb-fcb8-4ecf-8338-2bfa4947acef	c41b924e-d405-4501-a981-1c04d70a841e.FPKM-UQ.txt.gz	TCGA-A6-6141
39b6ae01-c97b-4234-8a28-208fdf170432	de19faaa-60f9-4b3d-be28-00505d5a82e5.FPKM-UQ.txt.gz	TCGA-A6-6649
286cbae3-8324-43b7-9b20-0f40dda1588e	62f84581-4c7d-4c8e-835c-9304bcec3106.FPKM-UQ.txt.gz	TCGA-D5-6930
af3a0634-4292-45bd-b948-6b6bd2d58090	20a523cd-58e9-467d-bed5-1bce2a8574f8.FPKM-UQ.txt.gz	TCGA-AA-A00Z
622cc1c4-d721-4b5c-a88b-216d6368660b	569ff63b-ea1c-4189-a5e5-8c44ee670cbe.FPKM-UQ.txt.gz	TCGA-G4-6297
1ad0b9b9-7ded-4281-b114-9dcc6138c037	9dc13355-5e6a-4d51-a58f-816699c1f466.FPKM-UQ.txt.gz	TCGA-AA-3530
8c0894fb-5e78-40ae-be0b-329ca30f758a	7bb97da8-8db8-4f9b-a9ff-54b644019412.FPKM-UQ.txt.gz	TCGA-DM-A1HB
abe658e0-33f9-4f57-849b-dec4d20964d6	17e4f239-6e6d-4a5e-942f-eec14d46ca10.FPKM-UQ.txt.gz	TCGA-G4-6314
56c8b812-ca8e-4eb2-b0fe-f264316789bf	9c2cd1ea-6106-46c6-9966-5e9f4de8665e.FPKM-UQ.txt.gz	TCGA-DM-A1HA
dc22eba5-6fb7-4875-b30a-99fa00758301	77dbc29d-e3dd-45cc-b1d8-3bdd1711c704.FPKM-UQ.txt.gz	TCGA-D5-6920
2d3ce817-b269-4662-a92d-392bd3662399	2de834f0-d5dc-46d3-9411-3db9635e9b99.FPKM-UQ.txt.gz	TCGA-CM-5341
e8841edf-e070-425b-b4d4-bbb2115f9dbd	51e55e7a-5fef-4451-af1b-49ed4ced9ac7.FPKM-UQ.txt.gz	TCGA-AA-3973
ba49b428-246d-46d2-b549-39a5fc8f7003	4e7c6811-88e4-4bb7-a88f-7491dfa6d072.FPKM-UQ.txt.gz	TCGA-AA-3554
4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b	bf8d10e1-1241-48fa-95a2-9e97fc58c17a.FPKM-UQ.txt.gz	TCGA-A6-5665
81555ac5-9cc2-49ae-9033-657f56243f20	03109baa-936f-49ae-acb3-2d00ac03c7ab.FPKM-UQ.txt.gz	TCGA-AA-3939
07dc5a1d-64b7-42ba-928e-9753bd533c1e	b57f69a6-91ca-4131-a654-5495f6dd1131.FPKM-UQ.txt.gz	TCGA-A6-2675
e75985cb-357e-4072-b047-eea37965d70c	c8544a8a-4352-438d-94d4-3495af2e9a78.FPKM-UQ.txt.gz	TCGA-DM-A282
e3ca9046-9634-4332-b19f-88b18110f941	058ac81a-3b90-4e7d-8f7b-9c34fbc77997.FPKM-UQ.txt.gz	TCGA-CM-4751
d259eeb2-d15e-436d-9d37-2d0b7658bc91	d2587070-cb7d-440d-ae49-52f5077248e6.FPKM-UQ.txt.gz	TCGA-D5-6534
e3b6018c-ab2c-47c5-b183-a295d0110835	a8cccaa0-76de-4b73-8f73-85fce2bc278b.FPKM-UQ.txt.gz	TCGA-DM-A1D9
89a6384e-1cea-440b-9f17-d57cb0805174	4ea4ed16-8597-426c-9485-0fc8a8d81973.FPKM-UQ.txt.gz	TCGA-A6-2676
e4be17c8-0855-432c-bb80-28bb24b62f32	d64dbed4-65e5-4a19-ac6b-d8e7a06169da.FPKM-UQ.txt.gz	TCGA-G4-6309
7d8eab0a-e6c8-4449-9ebf-50c41db94a06	77489a8a-5b35-4350-87c9-a588fcc0794c.FPKM-UQ.txt.gz	TCGA-A6-2681
9cdca5d8-ea77-4df9-b2ba-0d5e8ec37bcd	e69b55b8-7988-4881-be5e-22e20d42197f.FPKM-UQ.txt.gz	TCGA-CA-6719
c293a148-a88c-4fb3-b2f4-e64e918044f9	28004569-048d-4f8c-99aa-7a8c69a98dcc.FPKM-UQ.txt.gz	TCGA-CK-4950
264c0d45-078a-4207-a101-71f99bcd237e	8a266c03-d5ab-4047-96f2-a850cc7215b8.FPKM-UQ.txt.gz	TCGA-G4-6303
05ff79c5-1127-4cac-8f4c-84089a3f2cde	1580243c-8353-4c6e-a532-81121b912c21.FPKM-UQ.txt.gz	TCGA-AA-3862
40c217ee-429f-41f4-adc6-db9186622b17	6815a151-f39d-42b5-b17f-b219fe9f73d1.FPKM-UQ.txt.gz	TCGA-CM-6172
c82bbe23-0264-45a7-b1a6-82b4654108c8	83ffbba1-e36b-4ff4-ba58-2d92c4b53654.FPKM-UQ.txt.gz	TCGA-AA-3864
13eff2e5-e33a-485f-9ba4-8a7ccb3c7528	2f6070c7-99d0-49bb-83ca-33c032650cde.FPKM-UQ.txt.gz	TCGA-AD-6888
3aae5316-6a5d-4b83-9020-ad691d4edf99	cecce47d-5d1a-4473-bf62-48b9bf602534.FPKM-UQ.txt.gz	TCGA-G4-6626
605baa86-79e3-484d-82d2-4de27d405ba1	6e2db920-dc3e-4a74-8cdb-470cb61e2fac.FPKM-UQ.txt.gz	TCGA-AM-5821
96e013d9-8e89-46a7-8d07-bae95af36708	6f4f4e5d-d81e-402e-859f-3ee580a8bbde.FPKM-UQ.txt.gz	TCGA-CM-5860
81a7184e-f9f5-4e3f-9603-5f5642386c1e	e158f016-7605-45b7-8e4f-bbe313fc461c.FPKM-UQ.txt.gz	TCGA-T9-A92H
47a8e514-904c-4867-8f43-7eb573be835b	ddc5dfb2-e7e4-4159-930e-120c7d2a8640.FPKM-UQ.txt.gz	TCGA-AD-6963
f83b909c-da90-41ed-b532-a2ef9371cff9	92107b4f-bd77-4401-9065-4b9704110d44.FPKM-UQ.txt.gz	TCGA-DM-A28C
64b0461f-038d-4712-948e-818dc2f10eef	771bbbfd-e1fd-4dfd-b822-3e091ef656d2.FPKM-UQ.txt.gz	TCGA-D5-6929
0f008098-d8aa-46dc-8445-cca59838c582	3963e642-4d9f-47a1-bf0e-83462bcb7b13.FPKM-UQ.txt.gz	TCGA-AD-5900
f88c0259-58ff-4bcc-a777-7705cdbd8213	2e81bac9-aafa-4aba-ba62-327e3bc8dc51.FPKM-UQ.txt.gz	TCGA-A6-5664
92554413-9ebc-4354-8e1b-9682f3a031d9	966ad64a-5a6d-4219-ac8e-adbfb9a79cad.FPKM-UQ.txt.gz	TCGA-4N-A93T
9dcb4e16-b582-4cd0-87cf-04f480ec2cec	892ff51f-ffd8-4b99-afa8-0e29e5db2565.FPKM-UQ.txt.gz	TCGA-AA-3542
c5c4a0a5-900d-483d-9282-475654d63265	988eba37-1b57-4740-b0ba-9491b57421ab.FPKM-UQ.txt.gz	TCGA-AA-3518
7f6898e2-a840-4ad1-80f7-783f8b766fcc	72a79a28-907d-42b8-9722-93448b87c3d2.FPKM-UQ.txt.gz	TCGA-WS-AB45
09942e9f-c178-44bc-9cd9-f5bfa350b23f	e8f1fe81-08ce-4db4-bd74-5f9d4b4143f3.FPKM-UQ.txt.gz	TCGA-AA-3519
84e34cf2-b3bb-4a1a-8fb7-6c2c604c4008	42e6517c-02ff-491b-8315-9ef163e6cfdc.FPKM-UQ.txt.gz	TCGA-AA-A01S
912b61a1-6a5b-451c-b753-9c3dac03e8cb	05261012-4f7a-4c5e-a1e8-ffb440ec80cf.FPKM-UQ.txt.gz	TCGA-AA-3543
27d9c162-11bb-48fb-a41a-aa05fcb4c1c2	708ac46f-4702-478e-b1ae-187e1a55b985.FPKM-UQ.txt.gz	TCGA-G4-6293
5b259d18-3976-4f44-967f-fe5fa8447c8b	c419c0fe-74c5-44b1-89ed-887c2c3cfded.FPKM-UQ.txt.gz	TCGA-CM-5864
ad440651-a2de-4bb1-90da-1e5e8975ab59	692efd81-4aba-45fb-a7fd-35c10c79ebf2.FPKM-UQ.txt.gz	TCGA-AA-3521
d651f9ba-8746-46c4-852c-6c2992c7d10e	f596eabc-e39a-4e35-9fc6-edade04eb785.FPKM-UQ.txt.gz	TCGA-AA-3667
28d03569-8717-40da-8989-70baf2b18f9f	1c1a1ce6-b06e-421b-9f0b-a9215d553666.FPKM-UQ.txt.gz	TCGA-A6-5667
ca22edd4-eb7c-4677-84aa-6f0354459a19	5f5c42f3-3631-43a3-9774-164eca819389.FPKM-UQ.txt.gz	TCGA-AA-A00R
131e0571-de86-415f-b3fb-dc9f971258d3	42c56861-1c90-41e0-a5d5-324e5fd80ea8.FPKM-UQ.txt.gz	TCGA-D5-6932
f4a804d3-b5c4-4da5-800f-6e5757ecfa1c	b9134508-ab9b-41ef-b6e3-745b85353a55.FPKM-UQ.txt.gz	TCGA-DM-A1DA
bfb07784-693b-4c25-874e-4ad6e04a5d46	0a8b5557-54ea-46de-b575-8d781ff86513.FPKM-UQ.txt.gz	TCGA-AA-3529
