geneID	uniprotID	P10	P11	P14	P16	P17	P18	P19A	P19B	P20	P23	P24A	P24B	P25	P26	P27	P28	P31	P5	P6	P7	P8	P9
TMEM252	Q8N6L7	5.10263	5.75819	5.02518	5.44652	5.44738	5.03657	5.17818	5.10686	5.13588	5.13554	5.37815	5.44652	5.28423	5.32246	5.01555	5.16879	5.84053	5.147	5.21101	5.31195	6.29296	5.74423
TMEM251	Q8N6I4	8.04166	8.12325	7.89165	7.65364	8.47877	7.86878	8.20601	7.92416	7.6079	8.12717	7.87452	8.28443	7.70009	7.07714	8.10271	8.15953	8.38155	7.1504	8.19861	7.45244	7.95144	8.43694
TMIE	Q8NEW7	6.41513	6.67622	6.53738	6.75183	6.38858	6.81269	6.52931	6.45848	6.55275	6.90773	6.75904	6.60457	6.48477	6.41464	6.69482	6.4756	6.57616	6.56601	6.80171	6.5831	6.82425	6.97325
MFSD6L	Q8IWD5	5.70178	6.05068	6.17246	6.14198	5.66137	6.18615	5.7583	6.167	6.02468	6.07732	5.81581	6.12705	6.11723	6.27951	6.04297	6.42755	5.77157	5.794	5.88923	6.19152	6.32422	6.12555
NGFR	P08138	6.61502	6.49963	6.5182	6.62155	6.27548	6.23988	6.2592	6.40455	7.14364	7.70667	6.46837	6.4287	6.8304	6.32643	8.98549	7.36082	6.48575	7.58879	6.52179	6.49841	6.3909	6.5949
BMP8A	Q7Z5Y6	7.50698	7.54639	7.69016	7.66064	7.56751	7.38581	7.55044	7.76453	7.53453	7.71917	7.64685	7.39269	7.57487	7.70186	7.48159	7.6428	7.75643	7.84274	7.46665	7.79632	7.88104	7.70066
CFAP99	D6REC4	6.24472	6.10996	6.1183	6.50425	6.35006	6.17153	6.0759	6.35292	6.40746	6.42661	6.4565	6.35006	6.35006	6.33821	6.2667	6.45773	6.51909	6.22662	6.43754	6.5637	6.43717	6.70065
MAD1L1	Q9Y6D9	7.37724	7.36974	7.00152	7.53418	7.46705	7.43415	7.29866	7.43523	7.47987	7.4014	7.40465	7.37161	7.53425	7.1874	7.32255	7.32073	7.28648	7.43626	7.3473	7.35445	7.67121	7.41037
ACAA2	P42765	9.96748	10.41529	12.4459	10.65271	13.05074	11.04579	8.67871	10.09358	10.18112	11.40322	11.12461	11.32611	10.28715	10.40721	10.84296	11.9285	11.06448	8.51577	10.29153	5.8355	10.32321	11.36796
ACAA1	P09110	8.34209	8.04698	7.73421	8.06559	8.28616	8.43901	7.46408	7.71197	8.53418	8.13625	8.42588	8.3766	8.46367	7.98069	8.25029	7.93542	7.88687	8.43349	7.77708	7.6879	8.60198	7.91366
