geneID	uniprotID	P10	P11	P14	P16	P17	P18	P19A	P19B	P20	P23	P24A	P24B	P25	P26	P27	P28	P31	P5	P6	P7	P8	P9
UBE2Q1	Q7Z7E8	10.77948	10.36871	10.48601	10.57013	10.81061	10.66684	10.45977	10.25714	10.4984	10.49425	10.70629	10.26538	10.68505	10.52841	10.26565	10.49426	10.2401	10.94899	10.58972	10.34912	10.21428	10.51734
RNF14	Q9UBS8	10.64877	10.60477	9.86378	9.8752	9.65476	9.56777	10.54465	10.0579	10.20654	10.02533	10.37158	10.15364	9.86062	10.25959	10.2338	9.9953	10.01627	9.99654	10.11563	10.00252	10.29218	10.29659
RNF17	Q9BXT8	2.92829	2.94778	2.85039	2.94415	2.93804	2.94133	2.73166	2.72851	2.7908	2.92451	2.91909	3.0314	2.87742	3.09439	2.90944	2.88091	3.13499	2.91481	3.00661	2.71679	2.94459	2.82385
RNF10	Q8N5U6	10.14697	10.28412	9.82024	10.09536	9.8482	9.72871	9.87436	10.01927	9.79014	9.79143	9.82308	9.97935	10.0285	9.93144	10.22766	9.91303	10.18708	10.42625	9.6737	10.04076	10.01115	9.83281
RNF11	Q9Y3C5	9.57152	9.82175	9.38328	9.7009	9.21919	9.21824	9.81959	9.63568	9.55903	9.78678	9.91902	9.28048	9.23959	8.91173	10.4577	9.73117	9.38042	9.97647	9.19755	9.53379	8.8379	9.6733
RNF13	O43567	10.15992	9.92583	9.88713	9.60837	10.14082	10.26825	10.00816	10.08649	10.46644	10.29992	10.11705	10.11775	10.36683	10.49312	10.3203	10.21619	10.30484	10.41789	9.7491	10.2718	10.29827	10.22604
REM1	O75628	6.10365	6.14903	6.01671	6.36695	6.20776	5.93693	5.83452	6.27077	6.25406	6.30272	5.86936	6.13229	6.32613	6.21645	6.1224	6.44376	6.13104	6.07551	6.50923	6.08386	6.54568	6.60913
REM2	Q8IYK8	6.20976	6.16866	6.49565	6.54618	6.27931	6.33975	6.24432	6.5558	6.27218	6.45382	6.31078	6.5779	6.50726	6.31152	6.72968	6.42945	6.67528	6.69352	6.64156	6.19929	6.35518	6.93317
RPEL1	Q2QD12	4.06293	3.68895	3.41725	3.59127	3.70403	3.34788	3.64381	3.68391	3.71325	3.51783	3.33891	3.62353	3.65203	3.39648	3.3585	3.88656	3.47506	3.56594	3.53158	3.53079	3.46195	3.59241
UBE2Q2	Q8WVN8	8.5791	7.18319	8.33758	7.31984	8.70079	8.41563	9.4089	8.95131	7.89895	9.00948	8.93468	8.59548	7.73476	8.49745	9.25863	8.8742	7.77616	8.17531	7.40135	8.66684	6.23194	8.97101
CHMP1B	Q7LBR1	10.36585	10.74533	10.50255	10.60066	11.04528	10.41416	9.97623	10.41862	9.82572	10.51103	10.96386	10.61721	10.61392	10.35504	11.13282	10.72701	10.18104	10.51143	8.99656	10.31801	10.1687	10.46671
PMM2	O15305	9.38149	9.94393	9.4602	10.06434	9.73979	9.69919	9.31867	10.06308	9.8123	9.73179	9.79919	9.94604	10.12237	9.99853	9.42486	9.28606	9.91706	9.01235	9.98959	9.51807	9.73349	9.47134
PMM1	Q92871	6.6814	7.53852	7.25195	7.02788	7.71736	8.23182	7.69175	6.62504	7.29559	6.94108	7.38056	7.57758	7.11731	7.01246	7.3779	6.94393	7.30982	6.56085	6.56049	6.84168	7.19144	7.5539
ASS1	P00966	11.49823	10.99028	11.59138	11.33861	11.18449	11.48742	9.45335	12.38111	11.56975	11.88149	12.10448	11.38779	11.28412	10.77821	10.44998	11.41284	11.92616	11.08298	10.27215	11.62132	12.00059	12.04657
SPX	Q9BT56	5.09256	5.17711	5.00773	5.21526	5.11641	4.91553	4.94697	5.12199	5.20487	5.19828	5.05139	5.11078	4.98811	5.25303	5.24092	5.20487	5.26364	5.1169	5.35599	5.36748	4.86432	5.5032
ZNF709	Q8N972	6.14828	6.42312	6.20423	6.36583	6.43587	6.53544	6.90694	6.87983	6.51125	6.61854	6.18146	6.46463	6.52029	6.53669	6.34083	6.3223	6.58036	6.16101	5.20629	5.57043	6.03136	6.18807
ZNF708	P17019	6.30938	6.22468	5.60506	5.82979	6.98309	6.37821	6.00328	5.72633	7.938	6.06097	5.33673	6.7313	6.68776	5.76895	5.52669	6.04517	5.3584	5.35358	5.66634	5.29059	6.13608	5.67056
ZNF879	B4DU55	5.74496	5.36601	4.63211	5.31471	5.24625	5.07925	4.13883	3.91092	4.68587	4.97469	5.11879	5.076	5.33846	5.23414	4.86593	4.88298	4.25798	5.60694	4.83836	4.68369	5.16112	5.07586
ZNF878	C9JN71	6.12071	7.10225	5.45337	6.23627	7.6381	6.21895	7.50317	7.94997	6.51071	6.02671	6.8661	6.40035	7.3982	7.23468	6.19202	6.27538	6.32584	6.06113	5.88631	5.3738	7.24821	5.736
ATRIP	Q8WXE1	7.41205	7.1157	7.46253	7.45162	7.548	7.50707	7.8906	7.56751	7.74254	7.26408	7.63045	7.49324	7.39623	7.52739	7.12381	7.32559	7.03967	7.28062	6.93815	7.44759	7.49942	7.26294
CAMK1	Q14012	7.80589	7.41415	7.44415	7.65475	8.0792	7.39113	8.51638	7.89387	7.96671	7.83136	8.25337	7.80856	7.65684	7.17714	8.02447	8.17076	7.42966	7.61755	7.75479	7.31124	7.63985	7.84504
COPRS	Q9NQ92	7.80838	7.80152	7.44123	7.30059	7.5764	7.62001	8.13613	7.73387	7.96748	7.6029	7.71491	7.66768	7.49537	7.79685	7.67632	7.67499	7.93298	7.12655	7.89671	7.65315	7.82903	8.13042
ZNF700	Q9H0M5	6.17027	6.19679	5.89373	6.01632	6.73727	6.20335	6.8333	6.33014	5.89854	6.29282	6.59584	6.55881	6.34511	6.02844	5.88836	6.33007	6.01933	6.01364	6.07283	6.22858	6.38269	6.0591
ZNF707	Q96C28	6.18964	6.47066	5.97551	6.53305	6.77233	6.40305	6.67	6.35529	6.23742	6.61967	6.33037	6.40029	6.36974	5.78758	6.38432	6.28478	6.17285	6.71301	6.64964	6.36326	6.70058	5.8465
CAMK4	Q16566	4.13315	4.18982	4.31892	4.44338	4.36915	4.24823	4.06477	4.22348	4.50307	4.31119	4.30189	4.1687	4.32231	4.15961	4.43077	4.15022	4.4375	4.20012	4.11924	5.61132	4.25229	3.99313
ZNF704	Q6ZNC4	8.76118	9.75055	8.01905	8.92482	9.87329	8.1017	7.12406	7.70664	8.10682	6.6648	9.15079	9.16761	7.5796	8.8278	9.3414	8.63708	6.95102	8.82435	10.25569	8.01125	9.81382	7.70637
ZC3H10	Q96K80	7.22052	6.75191	6.75614	6.73884	7.28562	7.13205	6.8566	6.96195	6.49573	6.82697	6.67227	6.7657	6.55391	6.30861	6.70468	7.16007	6.75029	7.58552	6.79004	6.91333	6.97341	6.7184
ZC3H13	Q5T200	9.62685	9.4507	9.43682	9.67314	9.89877	10.0228	9.42226	9.80264	10.3074	9.54634	9.78464	10.37477	10.49574	10.17757	9.78102	9.30819	9.30743	9.34656	10.23684	9.70865	10.23887	9.10844
RNF115	Q9Y4L5	10.36307	10.26016	9.78162	9.68816	10.96021	10.17046	10.25523	9.55828	10.12595	9.80054	10.3314	9.89573	9.98833	9.76257	9.96455	9.93737	9.52654	9.78189	10.09362	9.82835	9.56761	9.65515
RNF112	Q9ULX5	6.08683	5.95514	5.95745	6.14894	6.37196	5.91475	5.91106	6.03076	6.12083	6.08027	6.15007	6.23041	6.10226	5.94333	5.87735	6.39141	5.96447	6.129	6.16615	6.03985	6.15145	6.42419
ZC3H14	Q6PJT7	9.97393	10.15807	9.94066	10.16915	10.47162	9.88784	10.23479	10.07481	9.49462	10.08405	9.77567	10.31374	9.7709	9.59361	10.21283	9.88326	9.94405	9.90661	10.08526	10.03461	9.53918	10.19187
SPN	P16150	6.1578	5.72191	9.15944	5.58613	7.53603	8.30293	5.73874	5.50683	6.819	5.72865	5.74267	6.00556	6.47762	9.58684	5.54075	6.48527	6.07938	5.60215	5.59754	5.56894	6.07485	5.99045
RNF111	Q6ZNA4	8.76919	8.62433	8.71407	5.44526	8.66615	8.72275	9.49131	8.97942	8.06292	9.01666	8.89012	8.61541	8.81177	8.14185	9.14538	9.0387	8.40427	8.9805	9.01114	9.3095	8.88109	8.78621
ZC3H18	Q86VM9	9.6241	9.4809	9.5207	9.98469	9.90611	9.84156	10.12087	9.10094	9.58987	9.27166	9.43956	9.44472	9.95365	9.65982	9.42092	9.54359	9.66683	9.17822	10.01437	9.11584	9.87231	9.56378
DHX8	Q14562	9.51264	9.69581	9.70813	9.60178	10.00482	9.9791	9.9789	10.27345	9.58112	9.75239	9.61618	9.72326	9.73577	9.89396	9.98304	9.69003	9.47073	9.72375	9.88282	10.27227	9.84851	9.7432
SP9	P0CG40	6.4227	6.52551	6.95488	6.05567	6.55068	6.51354	6.38398	6.52551	6.79999	6.31669	6.6325	6.31098	6.65964	6.42218	6.41709	6.72249	6.5145	6.75601	6.71996	7.11755	6.65415	6.54998
LAS2	Q8IYD9	8.81357	7.81576	7.80129	8.92267	8.90525	8.48941	9.73031	9.15103	8.66846	7.80218	8.32298	7.84404	8.18608	7.83252	7.70568	8.0285	8.07632	6.28636	7.90412	8.41495	8.32581	7.84917
TCOF1	Q13428	8.62818	9.04793	8.49579	8.78062	8.62652	8.90071	8.8764	8.5485	8.8356	8.25498	8.43204	8.33182	8.41672	8.89917	8.12239	8.17995	8.23038	8.39935	9.21922	8.61325	9.03508	8.35666
NSRP1	Q9H0G5	8.3861	8.57023	8.48944	8.5674	8.59982	9.11062	9.0125	8.69312	8.61231	8.44586	8.64394	8.76551	8.54064	9.07124	8.5114	8.44248	7.9312	8.18677	8.82674	8.3624	8.73683	9.06925
NUP98	P52948	10.25103	10.22708	10.60542	10.57744	10.71064	10.89815	10.95925	10.95633	10.98745	10.5333	10.51392	10.72819	11.15022	10.84462	10.66049	10.41347	10.48695	10.51244	10.79586	10.77285	10.82221	10.37414
SP2	Q02086	8.42456	8.44137	8.53926	8.34239	8.56354	8.33085	8.42686	8.54052	8.32259	8.85835	8.43366	8.63398	8.56836	8.36613	8.71614	8.79795	8.74711	8.54732	8.89795	8.56065	8.46875	8.54732
SP3	Q02447	8.75362	8.66903	8.97784	9.27929	9.21081	9.4306	9.24343	9.09437	9.04065	8.75609	8.98178	9.07396	9.15547	9.0424	9.15332	9.11266	9.01331	8.71805	9.11805	9.1088	9.15048	8.67735
NUP93	Q8N1F7	10.36157	10.71078	10.26399	10.65424	11.24291	10.53117	10.86305	10.57712	10.64244	10.26874	10.28336	10.60124	10.64812	10.40865	9.91968	10.29531	10.82445	9.84089	10.66201	10.73608	10.60389	10.24985
SP5	Q6BEB4	8.51198	10.08764	10.16889	9.91255	9.73558	9.28564	7.4445	7.18575	8.90971	8.20215	7.86754	9.37176	9.72974	8.64074	9.89515	10.51138	8.53779	10.02052	10.71816	7.38564	7.87288	8.01719
SP6	Q3SY56	7.17432	7.58852	7.71862	7.5291	6.9725	7.35476	6.62003	6.94521	7.43605	7.59585	7.64133	7.83407	6.75998	7.58569	6.90433	7.46792	7.25335	6.76336	7.52616	6.9159	7.48458	7.15354
CAMKV	Q8NCB2	6.05656	5.95355	5.83796	6.28402	6.81418	7.04377	5.72535	6.72349	7.39942	6.12384	6.43108	6.46263	6.24486	6.37467	5.70908	5.9961	6.00752	6.1576	6.10433	6.12582	7.05207	6.70437
SPPL3	Q8TCT6	9.06129	9.10718	9.26483	9.13898	9.38643	9.56291	9.12182	9.08852	8.81329	9.00949	8.98432	9.08462	9.11179	9.21607	9.09785	8.90511	9.28136	9.20231	8.85287	8.64626	9.17288	8.93355
GOLIM4	O00461	9.45325	9.39923	10.55173	8.62608	10.07295	9.84966	9.47955	9.21164	10.52427	10.03104	10.94941	11.12982	10.23262	10.49149	10.21502	10.10882	10.09455	8.85059	9.73998	9.83685	11.20952	9.5829
OPA1	O60313	9.81035	9.48272	9.43709	9.63806	9.85737	9.63627	9.80003	9.98338	10.20157	9.86381	10.04401	10.26026	9.96655	10.02364	9.68472	9.58903	10.00565	9.65887	9.73263	9.84371	10.16831	9.60141
CBX1	P83916	8.09084	8.29993	8.2919	8.19308	8.49577	8.77956	8.743	8.44793	8.64952	7.75304	8.17441	8.17541	8.13031	8.87377	8.42606	8.2461	7.72785	8.19667	8.39669	7.98809	8.2919	7.10643
GTSE1	Q9NYZ3	8.30982	8.72515	8.90152	9.00132	8.76112	8.91224	9.69203	9.59375	8.91931	8.14464	8.54909	9.17741	8.88302	8.28402	8.13209	8.68685	8.44484	6.92243	8.96394	8.70355	9.36161	8.15528
OVCH2	Q7RTZ1	4.69221	4.69516	4.65739	4.62601	5.05082	4.5724	4.72347	4.38112	4.51717	4.91415	4.66791	4.77456	5.46999	4.64908	4.54369	4.72338	4.90605	4.31506	4.6351	4.71717	4.66791	4.76181
RPRD2	Q5VT52	10.70389	10.59042	10.17187	10.8016	11.35641	10.68151	10.59373	10.41417	10.6305	10.28011	10.8535	10.35285	10.73819	10.52404	10.39501	10.30047	10.34004	10.9483	10.48064	10.50388	10.35026	10.23772
SPPL2A	Q8TCT8	8.590625	8.624225	8.075085	8.334159999999999	7.79147	8.531095	8.787975	8.52392	8.308165	8.327	8.67673	8.55793	8.4541	7.741955	8.680705	8.2605	8.15584	8.022615	8.842455	8.91489	9.06578	8.309625
SPPL2C	Q8IUH8	5.8713750000000005	5.74432	5.85488	5.75533	5.96053	5.752395	5.573825	5.77694	5.878945	5.88882	5.95693	5.952920000000001	5.82517	5.91201	5.84299	6.0308	5.983195	6.228235	5.897724999999999	5.85221	5.884505	5.85711
SPPL2B	Q8TCT7	9.25571	9.68984	10.57779	9.40177	9.5871	9.62102	8.7703	9.2385	9.00326	9.4523	9.39526	9.88368	9.51782	9.39837	9.42445	9.83756	9.69067	9.79868	9.50224	9.49294	9.44996	9.97893
MYO3A	Q8NEV4	4.00641	3.95363	3.88458	4.11277	4.12135	4.12135	4.07434	4.0562	3.96767	4.07391	3.93314	4.02123	3.91718	4.22427	4.16333	4.16978	4.17889	4.04696	3.95067	3.98246	4.02768	4.1756
UGCG	Q16739	9.03708	8.79324	8.71366	8.75513	9.28855	9.13064	11.24986	9.16494	8.77228	9.06034	9.04735	8.94002	9.1461	9.66745	9.44959	9.00286	8.4996	9.0482	8.53522	9.30252	8.92746	8.58525
HSD11B1L	Q7Z5J1	7.55653	7.63771	7.462	7.64177	7.45883	7.25097	7.2441	7.48233	7.70825	7.65015	8.0661	7.69123	7.5915	7.18152	7.75895	7.56934	7.90894	8.11274	7.04928	7.57393	7.21056	7.76491
NOP2	P46087	10.28063	10.32197	9.56065	10.02427	10.03713	9.85987	10.1005	9.9632	10.12476	9.59611	10.10509	9.7863	10.26899	10.02897	9.61472	9.35599	8.97761	10.25851	10.15781	10.14718	10.29281	10.13402
RIT2	Q99578	3.22865	3.44912	3.90662	3.36375	3.45586	3.43421	3.26343	3.24229	3.45586	3.76569	3.48783	3.39408	3.42221	3.46675	3.55725	3.79873	3.41057	3.09451	3.35522	3.40506	3.48717	3.43258
TRHR	P34981	3.42651	3.88424	3.88802	3.96476	3.41513	3.62785	3.56195	3.97571	3.6398	3.90712	3.69518	3.66109	3.52787	3.56677	3.76762	3.75436	3.81327	3.87493	3.85236	4.11196	3.73689	4.25195
DENND4A	Q7Z401	8.94478	8.81787	8.88608	9.00493	8.58234	9.26085	9.89653	9.67957	9.04351	9.30599	9.65526	9.37622	8.95296	9.43106	9.57491	9.31529	8.59679	8.72131	9.34984	9.91596	9.76604	9.3818
DENND4B	O75064	9.00221	8.21773	7.94703	8.06505	8.80035	8.35056	8.27446	7.97987	8.09428	7.8538	8.40915	8.04454	8.49184	7.80977	8.09472	7.93375	8.33564	8.81884	8.36218	8.24393	7.88603	7.75358
DENND4C	Q5VZ89	10.13796	10.34074	10.23107	10.25453	10.51796	9.75089	10.12543	9.58628	10.23641	10.03746	10.22265	10.65316	10.37134	10.41175	10.47072	9.53	9.56119	10.05669	9.87019	9.72228	10.44976	10.23079
SWAP70	Q9UH65	8.84517	8.96562	8.05826	8.50523	8.67996	8.80405	9.41076	8.70476	9.04848	9.07743	8.71271	9.06986	9.29047	8.67643	9.66464	8.66766	8.39694	8.58021	8.30255	8.84564	8.1872	8.67192
PREB	Q9HCU5	10.51411	10.29515	11.07469	10.43095	10.37815	10.74825	10.54631	10.75555	10.83739	10.77356	10.63617	10.80638	10.90753	10.64074	10.29529	10.69948	10.51137	10.35395	10.94251	10.76214	10.62047	10.38879
UFSP1	Q6NVU6	8.30502	8.09801	7.86263	8.18335	8.40675	8.21098	7.66919	7.84688	8.28147	8.13122	8.09809	7.83014	7.88104	7.89923	7.82979	8.07358	8.09339	8.29731	8.03865	8.14991	7.98325	8.23391
UFSP2	Q9NUQ7	8.45323	8.51789	8.90181	8.48176	8.37455	8.63869	8.93505	9.36881	8.45824	8.51774	8.52036	8.92814	8.45638	8.30217	8.83912	8.69969	8.42516	7.82153	8.48933	9.11123	8.03566	8.69126
GAP43	P17677	4.81115	4.70033	4.60758	4.84067	5.0887	4.79762	4.71815	4.84683	5.14188	4.97255	4.98261	4.85707	5.15933	4.84603	4.94516	5.09194	5.04223	4.89381	4.99244	5.24725	5.23854	4.7586
PAMR1	Q6UXH9	4.24133	4.45411	4.39101	4.46673	4.14608	4.2613	3.91048	4.34004	4.51685	4.48356	4.58053	4.14715	4.33303	4.2154	4.43759	4.2793	4.35863	4.51577	4.11419	4.56915	4.38175	4.4737
HRH4	Q9H3N8	2.82672	3.00723	2.97665	2.79095	3.00945	2.65688	2.81574	2.72102	3.01317	3.03153	3.00092	2.92734	2.81237	2.66054	3.13092	2.98212	3.11869	2.84658	2.86193	2.75176	2.83677	3.06608
FBXL12	Q9NXK8	8.58338	9.24326	9.30804	8.6013	9.65705	9.65277	9.13111	8.82821	9.0814	9.43458	8.79269	9.28537	9.15211	9.26749	8.58691	8.96335	9.166	8.75221	8.3035	8.8842	8.79585	9.59988
FBXL15	Q9H469	5.98648	5.78922	6.0272	5.73991	5.79984	5.80712	5.68076	5.95894	5.85555	6.05019	5.944	6.03518	5.63407	5.88707	5.72167	6.04612	6.15625	5.33001	5.94353	5.8903	5.77548	6.05464
HRH3	Q9Y5N1	6.07077	6.30016	6.15117	6.32845	6.12174	6.00251	5.51297	6.13049	6.24138	6.42862	6.39428	6.30787	6.29091	6.03897	6.16556	6.46207	6.22901	6.45558	6.20299	6.48492	6.45348	6.36817
FBXL17	Q9UF56	8.74036	8.66844	8.5519	8.38347	7.93166	8.51089	8.26609	7.86658	8.43464	7.91487	8.77996	8.40434	7.9666	8.5141	8.74826	8.57186	7.85621	8.2041	8.13317	6.87091	8.52441	8.51958
FBXL16	Q8N461	6.75317	6.68251	6.57528	6.94797	6.81769	6.53683	7.72631	8.08799	7.69399	6.95134	6.87039	6.73323	6.9263	6.53637	6.56552	7.14503	7.64987	6.59638	6.54687	7.87179	6.49474	7.68546
FBXL19	Q6PCT2	8.02472	8.68619	8.0769	8.19905	8.85176	7.70755	8.10047	7.75984	7.87053	7.9469	7.91899	8.06251	8.27787	8.24945	8.03742	7.80533	7.70067	8.08484	8.01235	7.71372	7.81159	7.61816
FBXL18	Q96ME1	7.125915	6.9158349999999995	6.678245	7.072155	6.85899	6.86981	6.872809999999999	6.836145	7.206805	7.21556	6.86592	6.60574	7.4209700000000005	6.56271	6.92107	6.779935	6.98409	7.050735	6.928295	7.139245	7.030165	7.047650000000001
GHDC	Q8N2G8	7.63638	8.15274	8.33944	7.99276	8.23016	7.99426	7.29153	7.95057	8.12666	8.01472	8.18751	8.12452	8.03754	7.68515	8.30772	8.18634	8.55831	8.08823	7.94681	7.42229	8.14533	8.95491
SDK1	Q7Z5N4	5.90573	5.95237	6.05125	5.93654	6.00409	5.86979	6.28623	6.0476	5.99744	6.0168	6.02397	6.20626	6.01222	5.75674	6.52275	5.9216	6.11182	6.88651	5.97025	5.74069	6.12804	5.98413
SDK2	Q58EX2	5.90016	6.24154	6.10079	6.08232	6.19973	5.98842	5.91086	7.94233	6.06289	6.20572	6.16427	5.93677	6.11822	6.15296	5.98942	6.14972	6.31125	6.6568	6.19391	6.03523	6.21819	6.37055
GRP	P07492	7.46521	7.55457	7.27115	7.22802	7.53877	7.45726	7.24409	7.49816	7.19995	7.51689	7.53905	7.48596	7.47965	7.41791	7.27784	7.59682	7.71192	7.4637	7.55577	7.67242	7.55309	7.64214
TPRN	Q4KMQ1	6.92792	6.86663	6.67782	7.17234	7.45289	7.18055	6.31735	6.67402	7.09193	7.13529	7.36702	7.2181	7.39405	7.11792	6.8863	7.13022	7.24728	6.84962	6.7582	6.72724	7.29047	7.18775
HPCAL4	Q9UM19	5.31544	5.48555	5.73278	5.67598	5.59521	5.68138	6.61038	5.87102	5.90235	5.86537	5.53065	5.66768	5.58958	5.45318	5.50318	5.41997	5.41145	5.56995	5.86196	5.89335	5.36573	5.57628
CHST9	Q7L1S5	4.11173	3.90353	4.18725	4.03285	4.15156	4.30636	4.14169	4.18725	4.27719	4.18725	4.12286	4.18725	4.10635	4.10727	4.10974	6.04497	4.27232	4.05491	4.19546	4.22132	4.18725	4.12862
CHST8	Q9H2A9	5.64976	5.69504	5.65778	5.61977	5.89202	5.87158	5.739	6.0007	5.97441	5.9266	5.80071	5.77711	5.62588	5.65206	5.78305	5.78473	5.84318	5.61643	5.94286	5.73673	5.82983	5.69673
CHST1	O43916	4.81622	4.96489	4.80464	5.07229	4.79471	4.66704	4.62333	4.72543	4.83146	4.99458	5.01284	4.87859	5.03495	4.78752	4.87509	5.10429	4.81562	4.77064	5.13637	5.04639	4.79721	5.03964
CHST3	Q7LGC8	5.88728	7.99638	6.21712	6.73388	6.33545	6.12494	8.80188	7.92827	5.90471	6.41036	7.05541	6.19611	6.14223	6.383	6.83668	6.31844	6.56045	6.91041	6.15205	6.12895	6.3025	6.11313
CHST2	Q9Y4C5	3.8384	3.94756	3.87958	4.14096	3.85326	3.96351	3.58198	3.85077	4.46282	4.07586	3.98905	3.99279	4.01605	3.81834	4.04588	4.13279	4.05521	4.23019	3.9879	4.74671	4.05799	3.9976
CHST5	Q9GZS9	6.76104	10.71785	6.81819	9.26751	6.90581	6.29542	6.29069	6.908	6.41133	6.22912	6.56681	7.73899	7.28403	6.42406	7.2314	6.1602	7.74542	6.40097	6.44384	6.99854	7.945	7.09453
CHST4	Q8NCG5	5.34076	5.01607	5.09839	5.06549	5.48444	5.02525	4.50963	8.1959	5.17242	6.28139	5.24597	5.24294	5.38047	5.34109	6.31442	5.30655	9.32889	5.28631	5.6011	5.31548	5.65285	5.43619
CHST7	Q9NS84	6.40125	7.38598	5.7275	6.66371	5.64345	6.7046	5.67904	6.92624	5.52552	6.87415	5.92883	6.53571	6.68646	6.02551	6.1542	6.10031	8.01473	5.75659	6.21868	7.48326	5.89432	6.38042
CHST6	Q9GZX3	5.508445	6.531375000000001	5.707649999999999	6.72992	5.72053	5.552239999999999	8.3557	8.84465	5.896625	6.18491	6.0030149999999995	6.05065	6.781325	5.423865	6.9221900000000005	6.74644	6.554320000000001	5.797129999999999	5.735735	7.433325	6.11416	5.71097
LIAT1	Q6ZQX7	6.158915	6.403335	6.5060649999999995	6.559234999999999	7.818249999999999	6.302495	5.85136	7.27316	6.48004	6.69593	6.770490000000001	6.667389999999999	6.077154999999999	6.741664999999999	7.416885000000001	6.730025	6.76615	6.83416	6.87675	7.503450000000001	5.9729600000000005	7.441295
HLX	Q14774	5.26103	5.36801	5.50023	5.36893	5.4373	5.37983	4.77109	5.46608	5.23045	5.44436	5.05502	5.46904	5.3659	5.40588	5.36893	5.25499	5.41427	5.42743	5.47009	5.30737	5.24445	5.47121
HLCS	P50747	9.12683	9.14824	9.26638	8.65106	8.77511	8.67671	9.40794	9.04094	8.95507	9.34852	9.13691	8.59988	8.9694	8.68498	8.92379	9.05215	8.51345	8.80383	8.4337	8.91512	8.58102	9.56511
NOG	Q13253	6.19847	6.32321	6.26242	6.49236	6.38298	5.99573	6.23718	6.2551	6.4234	6.40594	6.46964	6.36053	6.22222	6.21082	6.35545	6.33144	6.38947	6.22724	6.42548	6.57815	6.56007	6.54547
COX7C	P15954	7.62139	7.62034	7.19089	7.11883	7.16867	7.44819	7.37436	7.51716	7.30768	6.90604	7.48018	7.45684	6.96025	6.89532	7.21283	7.33283	7.43392	7.26829	7.38793	7.47123	7.40203	7.21333
ZNF703	Q9H7S9	10.7239	10.03679	10.57049	10.15628	8.76169	10.45698	8.00572	9.32339	10.19125	10.36823	10.78027	10.2628	10.81189	10.31669	9.95795	10.51555	10.53686	10.52456	10.46035	10.04203	9.75043	10.19302
HLF	Q16534	6.51998	6.47784	6.47681	6.54088	6.62366	6.20488	7.20051	6.83801	6.49488	6.55807	7.76662	6.55522	6.75346	6.36467	6.3529	6.80627	7.08512	6.49715	7.23987	6.86039	6.55522	7.49039
NOV	P48745	6.44486	7.36148	5.53789	6.46206	6.17968	5.30088	5.22611	7.30706	5.51713	5.57731	6.46349	5.60595	6.09631	5.38211	6.77571	5.67662	5.94335	8.40495	6.05703	6.84876	6.35598	5.91237
ZNF701	Q9NV72	6.46516	6.07753	4.74566	5.97424	6.27255	6.01377	6.32283	5.92236	5.94519	5.65945	6.37292	5.8817	6.54865	6.00682	5.74413	6.28804	6.04717	6.85228	6.33263	5.87463	6.29287	5.46908
SMAD9	O15198	6.31397	7.08602	6.23761	6.5059	6.30922	7.7422	7.66139	7.25094	6.52038	6.3322	9.60927	8.17797	6.31964	8.47701	6.16821	6.54953	6.42422	6.29032	6.38826	7.85958	6.52189	6.45869
TRERF1	Q96PN7	8.26938	9.49134	6.15137	8.60249	6.98473	7.41295	7.58407	9.67067	8.13852	7.33671	8.68766	8.32004	8.01964	8.84089	6.95563	8.37115	8.92656	8.64513	8.9728	7.94028	5.30051	6.46687
SMAD4	Q13485	10.77251	10.63851	10.88997	10.51265	4.97201	10.77433	10.87588	11.15698	10.43862	10.96494	11.11889	10.8979	10.75743	10.51734	11.36098	11.21791	10.95629	10.60796	10.42775	11.20333	10.71151	11.01428
SMAD5	Q99717	9.71997	10.39827	9.58535	9.58368	9.50635	9.74907	9.80782	9.41755	9.89338	9.7125	9.61964	9.60992	9.38401	10.09944	9.7446	9.66136	9.49224	9.1359	9.8071	9.47086	9.65438	9.73571
SMAD7	O15105	7.35389	7.38311	7.27555	7.2075	10.42335	8.28175	4.59157	6.91532	6.86763	7.55507	8.31473	9.17243	7.17174	7.91165	8.93829	8.55547	6.89502	5.33386	6.61843	5.98044	7.04617	7.16146
GOLPH3L	Q9H4A5	9.8526	10.34845	9.53889	10.01007	10.19455	9.5048	9.44953	9.53545	9.35127	9.76431	10.00727	9.67429	9.7796	9.40198	9.61189	9.28377	10.13187	10.12285	9.23874	9.70599	9.3092	9.51524
SMAD1	Q15797	6.12786	5.87911	6.13702	6.24049	6.16061	6.13352	6.5431	6.13702	6.26818	6.24823	6.12998	6.11859	6.28587	5.98103	6.41986	6.38125	6.14013	6.37116	5.95667	6.14422	5.99268	5.82293
SMAD2	Q15796	10.43655	10.22639	10.06807	10.66649	12.74437	10.07307	9.95924	10.80804	10.12151	10.55643	10.79699	10.63551	10.38512	10.06033	11.04048	10.73002	10.46487	10.60075	9.66149	11.29516	10.11476	10.36822
SMAD3	P84022	5.84194	5.92737	5.40272	5.61857	4.91689	6.06304	7.0246	5.92274	5.17771	6.0859	6.2171	5.63874	5.79796	5.74654	6.70444	6.24574	5.53565	5.96115	5.41591	5.4563	6.02678	6.11175
MUS81	Q96NY9	7.97319	8.3283	8.5464	8.11012	8.40244	8.57315	8.18324	8.48243	7.94673	8.52171	8.33922	8.21306	8.24197	8.13402	8.26414	8.47449	8.26912	8.53872	8.07661	8.34482	8.0815	9.19205
